dc_arxiv_names,oecd_names
Engineering: Materials Science and Engineering: Metallurgy,2.5 Materials engineering
Engineering: Materials Science and Engineering: Polymer and Organic Materials,2.5 Materials engineering
Engineering: Materials Science and Engineering: Semiconductor and Optical Materials,2.5 Materials engineering
Engineering: Materials Science and Engineering: Structural Materials,2.5 Materials engineering
Engineering: Materials Science and Engineering: Other Materials Science and Engineering,2.5 Materials engineering
Engineering: Mechanical Engineering,2.3 Mechanical engineering
"Engineering: Mechanical Engineering: Acoustics, Dynamics, and Controls",2.3 Mechanical engineering
Engineering: Mechanical Engineering: Applied Mechanics,2.3 Mechanical engineering
Engineering: Mechanical Engineering: Biomechanical Engineering,2.3 Mechanical engineering
Engineering: Mechanical Engineering: Computer-Aided Engineering and Design,2.3 Mechanical engineering
Engineering: Mechanical Engineering: Electro-Mechanical Systems,2.3 Mechanical engineering
Engineering: Mechanical Engineering: Energy Systems,2.3 Mechanical engineering
"Engineering: Mechanical Engineering: Heat Transfer, Combustion",2.3 Mechanical engineering
Engineering: Mechanical Engineering: Manufacturing,2.3 Mechanical engineering
Engineering: Mechanical Engineering: Ocean Engineering,2.3 Mechanical engineering
Engineering: Mechanical Engineering: Tribology,2.3 Mechanical engineering
Engineering: Mechanical Engineering: Other Mechanical Engineering,2.3 Mechanical engineering
Engineering: Mining Engineering,2.3 Mechanical engineering
Engineering: Mining Engineering: Explosives Engineering,2.3 Mechanical engineering
Engineering: Nanoscience and Nanotechnology,2.3 Mechanical engineering
Engineering: Nuclear Engineering,2.4 Chemical engineering
"Engineering: Operations Research, Systems Engineering and Industrial Engineering",2.3 Mechanical engineering
"Engineering: Operations Research, Systems Engineering and Industrial Engineering: Ergonomics",2.3 Mechanical engineering
"Engineering: Operations Research, Systems Engineering and Industrial Engineering: Industrial",2.3 Mechanical engineering
Technology,1.2 Computer and information sciences
"Engineering: Operations Research, Systems Engineering and Industrial Engineering: Operational Research",2.3 Mechanical engineering
"Engineering: Operations Research, Systems Engineering and Industrial Engineering: Systems Engineering",2.3 Mechanical engineering
"Engineering: Operations Research, Systems Engineering and Industrial Engineering: Other Operations",2.3 Mechanical engineering
"Research, Systems Engineering and Industrial Engineering",2.3 Mechanical engineering
Engineering: Risk Analysis,2.1 Civil engineering
Engineering: Other Engineering,2.1 Civil engineering
Law,5.5 Law
Law: Accounting Law,5.5 Law
Law: Administrative Law,5.5 Law
Law: Admiralty,5.5 Law
Law: Agency,5.5 Law
Law: Agriculture Law,5.5 Law
Law: Air and Space Law,5.5 Law
Law: Animal Law,5.5 Law
Law: Antitrust and Trade Regulation,5.5 Law
Law: Banking and Finance Law,5.5 Law
Law: Bankruptcy Law,5.5 Law
Law: Business Organizations Law,5.5 Law
Law: Civil Law,5.5 Law
Law: Civil Procedure,5.5 Law
Law: Civil Rights and Discrimination,5.5 Law
Law: Commercial Law,5.5 Law
Law: Common Law,5.5 Law
Law: Communications Law,5.5 Law
Law: Comparative and Foreign Law,5.5 Law
Law: Computer Law,5.5 Law
Law: Conflict of Laws,5.5 Law
Law: Constitutional Law,5.5 Law
Law: Construction Law,5.5 Law
Law: Consumer Protection Law,5.5 Law
Law: Contracts,5.5 Law
Law: Courts,5.5 Law
Law: Criminal Law,5.5 Law
Law: Criminal Procedure,5.5 Law
Law: Cultural Heritage Law,5.5 Law
Law: Disability Law,5.5 Law
Law: Disaster Law,5.5 Law
Law: Dispute Resolution and Arbitration,5.5 Law
Law: Education Law,5.5 Law
Law: Elder Law,5.5 Law
Law: Election Law,5.5 Law
Law: Energy and Utilities Law,5.5 Law
"Law: Entertainment, Arts, and Sports Law",5.5 Law
Law: Environmental Law,5.5 Law
Law: Estates and Trusts,5.5 Law
Law: European Law,5.5 Law
Law: Evidence,5.5 Law
Law: Family Law,5.5 Law
Law: First Amendment,5.5 Law
Law: Food and Drug Law,5.5 Law
Law: Fourteenth Amendment,5.5 Law
Law: Fourth Amendment,5.5 Law
Law: Gaming Law,5.5 Law
Law: Government Contracts,5.5 Law
Law: Health Law and Policy,5.5 Law
Law: Housing Law,5.5 Law
Law: Human Rights Law,5.5 Law
Law: Immigration Law,5.5 Law
"Law: Indigenous, Indian, and Aboriginal Law",5.5 Law
Law: Insurance Law,5.5 Law
Law: Intellectual Property Law,5.5 Law
Law: International Humanitarian Law,5.5 Law
Law: International Law,5.5 Law
Law: International Trade Law,5.5 Law
Law: Internet Law,5.5 Law
Law: Judges,5.5 Law
Law: Jurisdiction,5.5 Law
Law: Jurisprudence,5.5 Law
Law: Juvenile Law,5.5 Law
Law: Labor and Employment Law,5.5 Law
Law: Land Use Law,5.5 Law
Law: Law and Economics,5.5 Law
Law: Law and Gender,5.5 Law
Law: Law and Philosophy,5.5 Law
Law: Law and Politics,5.5 Law
Law: Law and Psychology,5.5 Law
Law: Law and Race,5.5 Law
Law: Law and Society,5.5 Law
Law: Law Enforcement and Corrections,5.5 Law
Law: Law of the Sea,5.5 Law
Law: Legal Biography,5.5 Law
Law: Legal Education,5.5 Law
Law: Legal Ethics and Professional Responsibility,5.5 Law
Law: Legal History,5.5 Law
Law: Legal Profession,5.5 Law
Law: Legal Remedies,5.5 Law
Law: Legal Writing and Research,5.5 Law
Law: Legislation,5.5 Law
Law: Litigation,5.5 Law
Law: Marketing Law,5.5 Law
Law: Medical Jurisprudence,5.5 Law
"Law: Military, War, and Peace",5.5 Law
Law: National Security Law,5.5 Law
Law: Natural Law,5.5 Law
Law: Natural Resources Law,5.5 Law
Law: Nonprofit Organizations Law,5.5 Law
"Law: Oil, Gas, and Mineral Law",5.5 Law
Law: Organizations Law,5.5 Law
Law: President/Executive Department,5.5 Law
Law: Privacy Law,5.5 Law
Law: Property Law and Real Estate,5.5 Law
Law: Public Law and Legal Theory,5.5 Law
Law: Religion Law,5.5 Law
Law: Retirement Security Law,5.5 Law
Law: Rule of Law,5.5 Law
Law: Science and Technology Law,5.5 Law
Law: Second Amendment,5.5 Law
Law: Secured Transactions,5.5 Law
Law: Securities Law,5.5 Law
Law: Sexuality and the Law,5.5 Law
Law: Social Welfare Law,5.5 Law
Law: State and Local Government Law,5.5 Law
Law: Supreme Court of the United States,5.5 Law
Law: Tax Law,5.5 Law
Law: Taxation-Federal,5.5 Law
Law: Taxation-Federal Estate and Gift,5.5 Law
Law: Taxation-State and Local,5.5 Law
Law: Taxation-Transnational,5.5 Law
Law: Torts,5.5 Law
Law: Transnational Law,5.5 Law
Law: Transportation Law,5.5 Law
Law: Water Law,5.5 Law
Law: Workers' Compensation Law,5.5 Law
Law: Other Law,5.5 Law
Life Sciences: Agriculture,4.1 Agriculture forestry and fisheries
Life Sciences: Agriculture: Agricultural Economics,4.1 Agriculture forestry and fisheries
Life Sciences: Agriculture: Agricultural Education,4.1 Agriculture forestry and fisheries
Life Sciences: Agriculture: Apiculture,4.1 Agriculture forestry and fisheries
Life Sciences: Agriculture: Biosecurity,4.1 Agriculture forestry and fisheries
Life Sciences: Agriculture: Viticulture and Oenology,4.1 Agriculture forestry and fisheries
Life Sciences: Animal Sciences,1.6 Biological sciences
Life Sciences: Animal Sciences: Aquaculture and Fisheries,4.1 Agriculture forestry and fisheries
Life Sciences: Animal Sciences: Beef Science,4.2 Animal and dairy science
Life Sciences: Animal Sciences: Dairy Science,4.2 Animal and dairy science
Life Sciences: Animal Sciences: Meat Science,4.2 Animal and dairy science
Life Sciences: Animal Sciences: Ornithology,1.6 Biological sciences
Life Sciences: Animal Sciences: Poultry or Avian Science,4.2 Animal and dairy science
Life Sciences: Animal Sciences: Sheep and Goat Science,4.2 Animal and dairy science
Life Sciences: Animal Sciences: Zoology,1.6 Biological sciences
Life Sciences: Animal Sciences: Other Animal Sciences,1.6 Biological sciences
"Life Sciences: Biochemistry, Biophysics, and Structural Biology",1.6 Biological sciences
"Life Sciences: Biochemistry, Biophysics, and Structural Biology: Biochemistry",1.6 Biological sciences
"Life Sciences: Biochemistry, Biophysics, and Structural Biology: Biophysics",1.6 Biological sciences
"Life Sciences: Biochemistry, Biophysics, and Structural Biology: Molecular Biology",1.6 Biological sciences
"Life Sciences: Biochemistry, Biophysics, and Structural Biology: Structural Biology",1.6 Biological sciences
"Life Sciences: Biochemistry, Biophysics, and Structural Biology: Other Biochemistry, Biophysics, and",1.6 Biological sciences
Structural Biology,1.6 Biological sciences
Life Sciences: Bioinformatics,1.6 Biological sciences
Life Sciences: Biology,1.6 Biological sciences
Life Sciences: Biotechnology,1.6 Biological sciences
Life Sciences: Cell and Developmental Biology,1.6 Biological sciences
Life Sciences: Cell and Developmental Biology: Cancer Biology,1.6 Biological sciences
Life Sciences: Cell and Developmental Biology: Cell Anatomy,1.6 Biological sciences
Life Sciences: Cell and Developmental Biology: Cell Biology,1.6 Biological sciences
Life Sciences: Cell and Developmental Biology: Developmental Biology,1.6 Biological sciences
Life Sciences: Cell and Developmental Biology: Other Cell and Developmental Biology,1.6 Biological sciences
Life Sciences: Ecology and Evolutionary Biology,1.6 Biological sciences
Life Sciences: Ecology and Evolutionary Biology: Behavior and Ethology,1.6 Biological sciences
Life Sciences: Ecology and Evolutionary Biology: Desert Ecology,1.6 Biological sciences
Life Sciences: Ecology and Evolutionary Biology: Evolution,1.6 Biological sciences
Life Sciences: Ecology and Evolutionary Biology: Population Biology,1.6 Biological sciences
Life Sciences: Ecology and Evolutionary Biology: Other Ecology and Evolutionary Biology,1.6 Biological sciences
Life Sciences: Entomology,1.6 Biological sciences
Life Sciences: Food Science,1.6 Biological sciences
Life Sciences: Food Science: Food Biotechnology,1.6 Biological sciences
Life Sciences: Food Science: Food Chemistry,1.6 Biological sciences
Life Sciences: Food Science: Food Microbiology,1.6 Biological sciences
Life Sciences: Food Science: Food Processing,1.6 Biological sciences
Life Sciences: Food Science: Other Food Science,1.6 Biological sciences
Life Sciences: Forest Sciences,1.6 Biological sciences
Life Sciences: Forest Sciences: Forest Biology,1.6 Biological sciences
Life Sciences: Forest Sciences: Forest Management,4.1 Agriculture forestry and fisheries
"Life Sciences: Forest Sciences: Wood Science and Pulp, Paper Technology",4.1 Agriculture forestry and fisheries
Life Sciences: Forest Sciences: Other Forestry and Forest Sciences,1.6 Biological sciences
Life Sciences: Genetics and Genomics,1.6 Biological sciences
Life Sciences: Genetics and Genomics: Computational Biology,1.6 Biological sciences
Life Sciences: Genetics and Genomics: Genetics,1.6 Biological sciences
Life Sciences: Genetics and Genomics: Genomics,1.6 Biological sciences
Life Sciences: Genetics and Genomics: Molecular Genetics,1.6 Biological sciences
Life Sciences: Genetics and Genomics: Other Genetics and Genomics,1.6 Biological sciences
Life Sciences: Immunology and Infectious Disease,1.6 Biological sciences
Life Sciences: Immunology and Infectious Disease: Immunity,1.6 Biological sciences
Life Sciences: Immunology and Infectious Disease: Immunology of Infectious Disease,1.6 Biological sciences
Life Sciences: Immunology and Infectious Disease: Immunopathology,1.6 Biological sciences
Life Sciences: Immunology and Infectious Disease: Immunoprophylaxis and Therapy,1.6 Biological sciences
Life Sciences: Immunology and Infectious Disease: Immunotherapy,1.6 Biological sciences
Life Sciences: Immunology and Infectious Disease: Parasitology,1.6 Biological sciences
Life Sciences: Immunology and Infectious Disease: Other Immunology and Infectious Disease,1.6 Biological sciences
Life Sciences: Kinesiology,1.6 Biological sciences
Life Sciences: Kinesiology: Biomechanics,1.6 Biological sciences
Life Sciences: Kinesiology: Exercise Science,1.6 Biological sciences
Life Sciences: Kinesiology: Expeditionary Education,1.6 Biological sciences
Life Sciences: Kinesiology: Motor Control,1.6 Biological sciences
Life Sciences: Kinesiology: Psychology of Movement,5.1 Psychology
Life Sciences: Kinesiology: Other Kinesiology,1.6 Biological sciences
Life Sciences: Laboratory and Basic Science Research,1.6 Biological sciences
Life Sciences: Marine Biology,1.6 Biological sciences
Life Sciences: Microbiology,1.6 Biological sciences
Life Sciences: Microbiology: Bacteriology,1.6 Biological sciences
Life Sciences: Microbiology: Environmental Microbiology and Microbial Ecology,1.6 Biological sciences
Life Sciences: Microbiology: Microbial Physiology,1.6 Biological sciences
Life Sciences: Microbiology: Organismal Biological Physiology,1.6 Biological sciences
Life Sciences: Microbiology: Pathogenic Microbiology,1.6 Biological sciences
Life Sciences: Microbiology: Virology,1.6 Biological sciences
Life Sciences: Microbiology: Other Microbiology,1.6 Biological sciences
Life Sciences: Neuroscience and Neurobiology,1.6 Biological sciences
Life Sciences: Neuroscience and Neurobiology: Behavioral Neurobiology,1.6 Biological sciences
Life Sciences: Neuroscience and Neurobiology: Cognitive Neuroscience,1.6 Biological sciences
Life Sciences: Neuroscience and Neurobiology: Computational Neuroscience,1.6 Biological sciences
Life Sciences: Neuroscience and Neurobiology: Developmental Neuroscience,1.6 Biological sciences
Life Sciences: Neuroscience and Neurobiology: Molecular and Cellular Neuroscience,1.6 Biological sciences
Life Sciences: Neuroscience and Neurobiology: Systems Neuroscience,1.6 Biological sciences
Life Sciences: Neuroscience and Neurobiology: Other Neuroscience and Neurobiology,1.6 Biological sciences
Life Sciences: Nutrition,1.6 Biological sciences
Life Sciences: Nutrition: Comparative Nutrition,1.6 Biological sciences
Life Sciences: Nutrition: Human and Clinical Nutrition,1.6 Biological sciences
Life Sciences: Nutrition: International and Community Nutrition,1.6 Biological sciences
"Life Sciences: Nutrition: Molecular, Genetic, and Biochemical Nutrition",1.6 Biological sciences
Life Sciences: Nutrition: Nutritional Epidemiology,1.6 Biological sciences
Life Sciences: Nutrition: Other Nutrition,1.6 Biological sciences
"Life Sciences: Pharmacology, Toxicology and Environmental Health",1.6 Biological sciences
"Life Sciences: Pharmacology, Toxicology and Environmental Health: Environmental Health",1.6 Biological sciences
"Life Sciences: Pharmacology, Toxicology and Environmental Health: Medicinal Chemistry and",1.6 Biological sciences
Pharmaceutics,3.1 Basic medicine
"Life Sciences: Pharmacology, Toxicology and Environmental Health: Pharmacology",1.6 Biological sciences
"Life Sciences: Pharmacology, Toxicology and Environmental Health: Toxicology",1.6 Biological sciences
"Life Sciences: Pharmacology, Toxicology and Environmental Health: Other Pharmacology, Toxicology and",1.6 Biological sciences
Environmental Health,1.5 Earth and related environmental sciences
Life Sciences: Physiology,1.6 Biological sciences
Life Sciences: Physiology: Cellular and Molecular Physiology,1.6 Biological sciences
Life Sciences: Physiology: Comparative and Evolutionary Physiology,1.6 Biological sciences
Life Sciences: Physiology: Endocrinology,1.6 Biological sciences
Life Sciences: Physiology: Exercise Physiology,1.6 Biological sciences
Life Sciences: Physiology: Systems and Integrative Physiology,1.6 Biological sciences
Life Sciences: Physiology: Other Physiology,1.6 Biological sciences
Life Sciences: Plant Sciences,1.6 Biological sciences
Life Sciences: Plant Sciences: Agricultural Science,4.1 Agriculture forestry and fisheries
Life Sciences: Plant Sciences: Agronomy and Crop Sciences,1.6 Biological sciences
Life Sciences: Plant Sciences: Botany,1.6 Biological sciences
Life Sciences: Plant Sciences: Bryology,1.6 Biological sciences
Life Sciences: Plant Sciences: Fruit Science,1.6 Biological sciences
Life Sciences: Plant Sciences: Horticulture,1.6 Biological sciences
Life Sciences: Plant Sciences: Plant Biology,1.6 Biological sciences
Life Sciences: Plant Sciences: Plant Breeding and Genetics,1.6 Biological sciences
Life Sciences: Plant Sciences: Plant Pathology,1.6 Biological sciences
Life Sciences: Plant Sciences: Weed Science,1.6 Biological sciences
Life Sciences: Plant Sciences: Other Plant Sciences,1.6 Biological sciences
Life Sciences: Research Methods in Life Sciences,1.6 Biological sciences
Life Sciences: Research Methods in Life Sciences: Animal Experimentation and Research,1.6 Biological sciences
Life Sciences: Systems Biology,1.6 Biological sciences
Life Sciences: Other Life Sciences,1.6 Biological sciences
Medicine and Health Sciences,3.1 Basic medicine
Medicine and Health Sciences: Alternative and Complementary Medicine,3.3 Health sciences
Medicine and Health Sciences: Alternative and Complementary Medicine: Homeopathy,3.3 Health sciences
"Medicine and Health Sciences: Analytical, Diagnostic and Therapeutic Techniques and Equipment",3.1 Basic medicine
Anesthesia and Analgesia,3.1 Basic medicine
"Medicine and Health Sciences: Analytical, Diagnostic and Therapeutic Techniques and Equipment:",3.1 Basic medicine
Diagnosis,3.1 Basic medicine
Equipment and Supplies,3.1 Basic medicine
Investigative Techniques,3.1 Basic medicine
"Surgical Procedures, Operative",3.1 Basic medicine
Therapeutics,3.1 Basic medicine
"Medicine and Health Sciences: Analytical, Diagnostic and Therapeutic Techniques and Equipment: Other",3.3 Health sciences
"Analytical, Diagnostic and Therapeutic Techniques and Equipment",1.6 Biological sciences
Medicine and Health Sciences: Anatomy,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Animal Structures,1.6 Biological sciences
Medicine and Health Sciences: Anatomy: Body Regions,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Cardiovascular System,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Cells,1.6 Biological sciences
Medicine and Health Sciences: Anatomy: Digestive System,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Embryonic Structures,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Endocrine System,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Fluids and Secretions,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Hemic and Immune Systems,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Integumentary System,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Musculoskeletal System,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Nervous System,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Respiratory System,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Sense Organs,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Stomatognathic System,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Tissues,3.1 Basic medicine
Medicine and Health Sciences: Anatomy: Urogenital System,3.1 Basic medicine
Medicine and Health Sciences: Bioethics and Medical Ethics,3.3 Health sciences
Medicine and Health Sciences: Biomedical Informatics,3.3 Health sciences
Medicine and Health Sciences: Chemicals and Drugs,3.1 Basic medicine
"Medicine and Health Sciences: Chemicals and Drugs: Amino Acids, Peptides, and Proteins",3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Biological Factors,3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Biomedical and Dental Materials,3.3 Health sciences
Medicine and Health Sciences: Chemicals and Drugs: Carbohydrates,3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Complex Mixtures,3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Enzymes and Coenzymes,3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Heterocyclic Compounds,3.1 Basic medicine
"Medicine and Health Sciences: Chemicals and Drugs: Hormones, Hormone Substitutes, and Hormone Antagonists",3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Inorganic Chemicals,3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Lipids,3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Macromolecular Substances,3.1 Basic medicine
"Medicine and Health Sciences: Chemicals and Drugs: Nucleic Acids, Nucleotides, and Nucleosides",3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Organic Chemicals,3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Pharmaceutical Preparations,3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Polycyclic Compounds,3.1 Basic medicine
Medicine and Health Sciences: Chemicals and Drugs: Other Chemicals and Drugs,3.3 Health sciences
Medicine and Health Sciences: Communication Sciences and Disorders,3.3 Health sciences
Medicine and Health Sciences: Communication Sciences and Disorders: Speech and Hearing Science,3.3 Health sciences
Medicine and Health Sciences: Communication Sciences and Disorders: Speech Pathology and Audiology,3.3 Health sciences
Medicine and Health Sciences: Dentistry: Dental Hygiene,3.3 Health sciences
Medicine and Health Sciences: Dentistry: Dental Materials,3.3 Health sciences
Medicine and Health Sciences: Dentistry: Dental Public Health and Education,3.3 Health sciences
Medicine and Health Sciences: Dentistry: Endodontics and Endodontology,3.2 Clinical medicine
Medicine and Health Sciences: Dentistry: Oral and Maxillofacial Surgery,3.3 Health sciences
Medicine and Health Sciences: Dentistry: Orthodontics and Orthodontology,3.3 Health sciences
Medicine and Health Sciences: Dentistry: Periodontics and Periodontology,3.3 Health sciences
Medicine and Health Sciences: Dentistry: Prosthodontics and Prosthodontology,3.2 Clinical medicine
Medicine and Health Sciences: Dentistry: Other Dentistry,3.3 Health sciences
Medicine and Health Sciences: Dietetics and Clinical Nutrition,3.3 Health sciences
Medicine and Health Sciences: Diseases,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Animal Diseases,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Bacterial Infections and Mycoses,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Cardiovascular Diseases,3.1 Basic medicine
"Medicine and Health Sciences: Diseases: Congenital, Hereditary, and Neonatal Diseases and Abnormalities",3.1 Basic medicine
Medicine and Health Sciences: Diseases: Digestive System Diseases,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Disorders of Environmental Origin,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Endocrine System Diseases,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Eye Diseases,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Female Urogenital Diseases and Pregnancy Complications,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Hemic and Lymphatic Diseases,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Male Urogenital Diseases,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Neoplasms,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Nutritional and Metabolic Diseases,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Otorhinolaryngologic Diseases,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Parasitic Diseases,3.1 Basic medicine
"Medicine and Health Sciences: Diseases: Pathological Conditions, Signs and Symptoms",3.1 Basic medicine
Medicine and Health Sciences: Diseases: Respiratory Tract Diseases,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Skin and Connective Tissue Diseases,3.1 Basic medicine
Medicine and Health Sciences: Diseases: Stomatognathic Diseases,3.1 Basic medicine
Medicine and Health Sciences: Health Information Technology,3.3 Health sciences
Medicine and Health Sciences: Health Information Technology: Telemedicine,3.3 Health sciences
Medicine and Health Sciences: Health and Medical Administration,3.3 Health sciences
Medicine and Health Sciences: Health and Medical Administration: Quality Improvement,3.3 Health sciences
Medicine and Health Sciences: Medical Education: Interprofessional Education,3.1 Basic medicine
Medicine and Health Sciences: Medical Humanities,3.3 Health sciences
Medicine and Health Sciences: Medical Sciences,3.1 Basic medicine
"Medicine and Health Sciences: Medical Sciences: Biochemical Phenomena, Metabolism, and Nutrition",3.1 Basic medicine
"Medicine and Health Sciences: Medical Sciences: Biological Phenomena, Cell Phenomena, and Immunity",1.6 Biological sciences
Medicine and Health Sciences: Medical Sciences: Chemical and Pharmacologic Phenomena,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Circulatory and Respiratory Physiology,3.1 Basic medicine
"Medicine and Health Sciences: Medical Sciences: Digestive, Oral, and Skin Physiology",3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Genetic Phenomena,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Genetic Processes,1.6 Biological sciences
Medicine and Health Sciences: Medical Sciences: Genetic Structures,1.6 Biological sciences
Medicine and Health Sciences: Medical Sciences: Medical Anatomy,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Biochemistry,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Biomathematics and Biometrics,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Biophysics,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Biotechnology,3.3 Health sciences
Medicine and Health Sciences: Medical Sciences: Medical Cell Biology,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Genetics,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Immunology,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Microbiology,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Molecular Biology,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Neurobiology,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Nutrition,3.3 Health sciences
Medicine and Health Sciences: Medical Sciences: Medical Pathology,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Pharmacology,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Physiology,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Medical Toxicology,3.1 Basic medicine
"Medicine and Health Sciences: Medical Sciences: Musculoskeletal, Neural, and Ocular Physiology",3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Neurosciences,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Reproductive and Urinary Physiology,3.1 Basic medicine
Medicine and Health Sciences: Medical Sciences: Other Medical Sciences,3.3 Health sciences
Medicine and Health Sciences: Medical Specialties: Aerospace Medicine,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Allergy and Immunology,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Anesthesiology,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Behavioral Medicine,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Cardiology,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Critical Care,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Dermatology,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Emergency Medicine,3.2 Clinical medicine
"Medicine and Health Sciences: Medical Specialties: Endocrinology, Diabetes, and Metabolism",3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Family Medicine,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Gastroenterology,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Geriatrics,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Hematology,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Hepatology,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Infectious Disease,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Integrative Medicine,3.3 Health sciences
Medicine and Health Sciences: Medical Specialties: Internal Medicine,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Nephrology,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Neurology,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Neurosurgery,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Obstetrics and Gynecology,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Oncology,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Ophthalmology,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Orthopedics,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Osteopathic Medicine and Osteopathy,3.3 Health sciences
Medicine and Health Sciences: Medical Specialties: Otolaryngology,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Palliative Care,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Pathology,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Pediatrics,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Plastic Surgery,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Podiatry,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Preventive Medicine,3.3 Health sciences
Medicine and Health Sciences: Medical Specialties: Primary Care,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Psychiatry,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Pulmonology,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Radiation Medicine,3.2 Clinical medicine
